pd_itm_no,약어명,배수,기초지수,자산군,상품군,근거,판정,검토자,비고
KR7465620003,ACE 미국빅테크TOP7 Plus인버스(합성),1.0,Solactive US Big Tech TOP7 Plus CR,대체투자,ETF,약어명,,,
KR7145670006,ACE 인버스,1.0,F-KOSPI 200,대체투자,ETF,약어명,,,
KR7205720006,ACE 일본TOPIX인버스(합성 H),1.0,Topix CR,대체투자,ETF,약어명,,,
KR7306520008,HANARO 200선물인버스,1.0,F-KOSPI 200,대체투자,ETF,약어명,,,
KRG580000377,KB S&P 인버스 2X WTI원유 선물 ETN,,,원자재,ETN,약어명,,,
KRG580000690,KB S&P 인버스 2X WTI원유 선물 ETN B,2.0,,원자재,ETN,약어명,,,
KRG580000468,KB 블룸버그 인버스2X 천연가스선물 ETN(H),,,원자재,ETN,약어명,,,
KRG580000906,KB 솔랙티브 인버스 2X 금 선물 ETN,2.0,,원자재,ETN,약어명,,,
KRG580000872,KB 솔랙티브 인버스 천연가스 선물 ETN,1.0,,원자재,ETN,약어명,,,
KRG580000443,KB 인버스 2X KOSDAQ 150 선물 ETN,2.0,,주식,ETN,약어명,,,
KRG580000401,KB 인버스 2X KOSPI 200 선물 ETN,-2.0,,주식,ETN,배수음수+약어명,,,
KRG580000880,KB 인버스 2X KOSPI 200 선물 ETN B,2.0,,주식,ETN,약어명,,,
KRG580000179,KB 인버스 2X S&P 500 선물 ETN,-2.0,,주식,ETN,배수음수+약어명,,,
KRG580000336,KB 인버스 2X 구리 선물 ETN(H),2.0,,원자재,ETN,약어명,,,
KRG580000237,KB 인버스 2X 금 선물 ETN(H),-2.0,,원자재,ETN,배수음수+약어명,,,
KRG580000146,KB 인버스 2X 나스닥 100 ETN,,,주식,ETN,약어명,,,
KRG580000849,KB 인버스 2X 미국 S&P500 선물 ETN B,2.0,,주식,ETN,약어명,,,
KRG580000773,KB 인버스 2X 미국 나스닥 100 TR ETN B,2.0,,주식,ETN,약어명,,,
KRG580000641,KB 인버스 2X 미국채 10년 선물 ETN,2.0,,채권,ETN,약어명,,,
KRG580000526,KB 인버스 2X 밀 선물 ETN,2.0,,원자재,ETN,약어명,,,
KRG580000815,KB 인버스 2X 은 선물 ETN,2.0,,원자재,ETN,약어명,,,
KRG580000278,KB 인버스 2X 은 선물 ETN(H),,,원자재,ETN,약어명,,,
KRG580000716,KB 인버스 2X 천연가스 선물 ETN B,2.0,,원자재,ETN,약어명,,,
KRG580000542,KB 인버스 2X 콩 선물 ETN,2.0,,원자재,ETN,약어명,,,
KRG580000195,KB 인버스 2X 항셍테크 선물 ETN,-2.0,,주식,ETN,배수음수+약어명,,,
KRG580000807,KB 인버스 은 선물 ETN,1.0,,원자재,ETN,약어명,,,
KRG580000211,KB 인버스 천연가스 선물 ETN,-1.0,,원자재,ETN,배수음수+약어명,,,
KR7253240006,KIWOOM 200선물인버스,1.0,F-KOSPI 200,대체투자,ETF,약어명,,,
KR7253230007,KIWOOM 200선물인버스2X,2.0,F-KOSPI 200,대체투자,ETF,약어명,,,
KR7139660005,KIWOOM 미국달러선물인버스,1.0,F-USDKRW,대체투자,ETF,약어명,,,
KR7230480006,KIWOOM 미국달러선물인버스2X,2.0,F-USDKRW,대체투자,ETF,약어명,,,
KR7291620003,KIWOOM 코스닥150선물인버스,1.0,F-KOSDAQ150,대체투자,ETF,약어명,,,
KR7252670005,KODEX 200선물인버스2X,2.0,F-KOSPI 200,대체투자,ETF,약어명,,,
KR7271050007,KODEX WTI원유선물인버스(H),1.0,S&P GSCI Crude Oil ER USD,대체투자,ETF,약어명,,,
KR7280940008,KODEX 골드선물인버스(H),1.0,S&P GSCI Gold Index ER USD,대체투자,ETF,약어명,,,
KR7176950004,KODEX 국채선물10년인버스,1.0,F-LKTB,대체투자,ETF,약어명,,,
KR7292770005,KODEX 국채선물3년인버스,1.0,F-KTB,대체투자,ETF,약어명,,,
KR7304670003,KODEX 미국30년국채울트라선물인버스(H),1.0,S&P Ultra T-Bond Futures ER,대체투자,ETF,약어명,,,
KR7409810009,KODEX 미국나스닥100선물인버스(H),1.0,NASDAQ 100 CR,대체투자,ETF,약어명,,,
KR7261270003,KODEX 미국달러선물인버스,1.0,F-USDKRW,대체투자,ETF,약어명,,,
KR7261260004,KODEX 미국달러선물인버스2X,2.0,F-USDKRW,대체투자,ETF,약어명,,,
KR7114800006,KODEX 인버스,1.0,F-KOSPI 200,대체투자,ETF,약어명,,,
KR7251340006,KODEX 코스닥150선물인버스,1.0,F-KOSDAQ150,대체투자,ETF,약어명,,,
KRG550000720,N2 블룸버그 -2X WTI원유선물 ETN,,,원자재,ETN,정식명,,,
KRG550001009,N2 인버스 2X 천연가스 선물 ETN,2.0,,원자재,ETN,약어명,,,
KRG550000985,N2 인버스 2X 코스닥150 선물 ETN,2.0,,주식,ETN,약어명,,,
KRG552100452,N2 인버스 레버리지 S&P500 ETN,,,주식,ETN,약어명,,,
KRG552400431,N2 인버스 레버리지 WTI원유 선물 ETN(H),-2.0,,원자재,ETN,배수음수+약어명,,,
KRG550000704,N2 인버스 레버리지 구리 선물 ETN(H),2.0,,원자재,ETN,약어명,,,
KRG550000639,N2 인버스 레버리지 금 선물 ETN(H),-2.0,,원자재,ETN,배수음수+약어명,,,
KRG550000654,N2 인버스 레버리지 은 선물 ETN(H),,,원자재,ETN,약어명,,,
KR7253160006,PLUS 200선물인버스2X,2.0,F-KOSPI 200,대체투자,ETF,약어명,,,
KR70193L0006,PLUS 삼성전자선물단일종목인버스2X,2.0,KRX Samsung Electronics Futures PR,대체투자,ETF,약어명,,,
KR7373530005,PLUS 신흥국MSCI인버스(합성 H),,MSCI EM (Emerging Markets) TR USD,대체투자,ETF,약어명,,,
KR7301410007,PLUS 코스닥150선물인버스,-1.0,F-KOSDAQ150,대체투자,ETF,배수음수+약어명,,,
KR7252410006,RISE 200선물인버스,1.0,F-KOSPI 200,대체투자,ETF,약어명,,,
KR7252420005,RISE 200선물인버스2X,2.0,F-KOSPI 200,대체투자,ETF,약어명,,,
KR7465350007,RISE 2차전지TOP10인버스(합성),1.0,iSelect Secondary Cell TOP10 CR,대체투자,ETF,약어명,,,
KR7282000009,RISE 국고채3년선물인버스,1.0,F-KTB,대체투자,ETF,약어명,,,
KR7295020002,RISE 국채선물10년인버스,1.0,F-LKTB,대체투자,ETF,약어명,,,
KR7397410002,RISE 국채선물5년추종인버스,,,채권,ETF,약어명,,,
KR7469530000,RISE 미국달러선물인버스,1.0,F-USDKRW,대체투자,ETF,약어명,,,
KR7491630000,RISE 미국반도체인버스(합성 H),1.0,NYSE Semiconductor CR USD,대체투자,ETF,약어명,,,
KR7267450005,RISE 미국장기국채선물인버스(H),1.0,S&P U.S. Treasury Bond Futures ER USD,대체투자,ETF,약어명,,,
KR7291680007,RISE 차이나H선물인버스(H),1.0,Hang Seng China Enterprises Futures HKD,대체투자,ETF,약어명,,,
KR7275750008,RISE 코스닥150선물인버스,1.0,F-KOSDAQ150,대체투자,ETF,약어명,,,
KR7334700002,RISE 팔라듐선물인버스(H),1.0,S&P GSCI Palladium ER USD,대체투자,ETF,약어명,,,
KR70197X0008,SOL SK하이닉스선물단일종목인버스2X,2.0,KRX SK Hynix Futures PR,대체투자,ETF,약어명,,,
KR7481200004,SOL 미국테크TOP10인버스(합성),,Solactive US Tech TOP 10 Custom CR USD,대체투자,ETF,약어명,,,
KR7459370003,SOL 유럽탄소배출권선물인버스ICE(H),,Index is not available on Lipper Database,대체투자,ETF,약어명,,,
KR7252710009,TIGER 200선물인버스2X,2.0,F-KOSPI 200,대체투자,ETF,약어명,,,
KR7225030006,TIGER 미국S&P500선물인버스(H),1.0,S&P 500 Futures TR USD,대체투자,ETF,약어명,,,
KR7261120000,TIGER 미국달러선물인버스2X,2.0,F-USDKRW,대체투자,ETF,약어명,,,
KR7217770007,TIGER 원유선물인버스(H),1.0,S&P GSCI Crude Oil ER USD,대체투자,ETF,약어명,,,
KR7123310005,TIGER 인버스,1.0,F-KOSPI 200,대체투자,ETF,약어명,,,
KR7217780006,TIGER 차이나CSI300인버스(합성),1.0,CSI 300 CR,대체투자,ETF,약어명,,,
KR7250780004,TIGER 코스닥150선물인버스,1.0,F-KOSDAQ150,대체투자,ETF,약어명,,,
KRG510000299,대신 S&P 인버스 2X 천연가스 선물 ETN,,,원자재,ETN,약어명,,,
