pd_itm_no,상품명,플래그,배수,자산군,근거,판정,검토자,비고
AAOZ.K,Tradr 2X Short AAOI Daily ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
AAPD.O,Direxion Daily AAPL Bear 1X ETF,Y,,Alternatives,플래그,,,
AIBD.K,Direxion Daily AI and Big Data Bear 2X ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
AIQD.K,MicroSectors -3x Short Artificial Intelligence ETN,Y,-3.0,Alternatives,플래그+배수음수,,,
AMDD.O,Direxion Daily AMD Bear 1X ETF,Y,,Alternatives,플래그,,,
AMZD.O,Direxion Daily AMZN Bear 1X ETF,Y,,Alternatives,플래그,,,
AMZO.K,Tradr 2X Short AMZN Daily ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
APLZ.K,Tradr 2X Short APLD Daily ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
ASTN.K,Defiance Daily Target 2X Short ASTS ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
AVS.O,Direxion Daily AVGO Bear 1X ETF,Y,,Alternatives,플래그,,,
AXTQ.K,Tradr 2X Short AXTI Daily ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
BERZ.K,MicroSectors FANG & Innovation -3X Inverse Lev ETN,Y,-3.0,Alternatives,플래그+배수음수,,,
BEZ,Tradr 2X Short BE Daily ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
BIS.O,ProShares UltraShort Nasdaq Biotechnology,Y,-2.0,Alternatives,플래그+배수음수,,,
BITI.K,ProShares Short Bitcoin ETF,Y,,Alternatives,플래그,,,
BMNZ.K,Defiance Daily Target 2X Short BMNR ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
BNKD.K,MicroSectors US Big Banks -3X Inverse Lev ETN,Y,-3.0,Alternatives,플래그+배수음수,,,
BOED.O,Direxion Daily BA Bear 1X ETF,Y,,Alternatives,플래그,,,
BRKD.O,Direxion Daily BRKB Bear 1X ETF,Y,,Alternatives,플래그,,,
BTCZ.K,T-Rex 2X Inverse Bitcoin Daily Target ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
BZQ,ProShares UltraShort MSCI Brazil Capped,Y,-2.0,Alternatives,플래그+배수음수,,,
CARD.K,MAX Auto Industry -3X Inverse Leveraged ETN,Y,-3.0,Alternatives,플래그+배수음수,,,
CBRZ.K,Tradr 2X Short CBRS Daily ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
CLSZ.K,Tradr 2X Short CLSK Daily ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
COHQ.K,Tradr 2X Short COHR Daily ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
CONI.O,GraniteShares 2x Short COIN Daily ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
CORD.K,T-REX 2X Inverse CRWV Daily Target ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
CRCD.K,T-REX 2X Inverse CRCL Daily Target ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
CRSH.K,YieldMax Short TSLA Option Income Strategy ETF,Y,,Alternatives,플래그,,,
CSCS.O,Direxion Daily CSCO Bear 1X ETF,Y,,Alternatives,플래그,,,
DAMD.K,Defiance Daily Target 2X Short AMD ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
DGZ,DB Gold Short ETN,Y,,Commodity,플래그,,,
DIPS.K,YieldMax Short NVDA Option Income Strategy ETF,Y,,Alternatives,플래그,,,
DOG,ProShares Short Dow30,Y,,Alternatives,플래그,,,
DRIP.K,Direxion Daily S&P Oil & Gas Exp & Prod Br 2X ETF,Y,-2.0,Alternatives,플래그+배수음수,,,
DRV,Direxion Daily Real Estate Bear 3X ETF,Y,-3.0,Alternatives,플래그+배수음수,,,
DUG,ProShares UltraShort Energy,Y,-2.0,Alternatives,플래그+배수음수,,,
DULL.K,MicroSectors Gold -3X Inverse Leveraged ETN,Y,-3.0,Commodity,플래그+배수음수,,,
