code,name,axis,axis_name,n_rows,n_selling,verified_rate,alt_names,status,as_of
C101,추가,C,설정형태(추가/단위·개방/폐쇄),10658,8355,1.000,,confirmed,2026-08-22
C102,단위,C,설정형태(추가/단위·개방/폐쇄),622,195,1.000,,confirmed,2026-08-22
C103,개방,C,설정형태(추가/단위·개방/폐쇄),11085,8544,1.000,,confirmed,2026-08-22
C104,폐쇄,C,설정형태(추가/단위·개방/폐쇄),195,6,1.000,,confirmed,2026-08-22
D101,직판,D,판매채널,70,58,1.000,,confirmed,2026-08-22
D102,국내위탁판매,D,판매채널,11047,8355,1.000,,confirmed,2026-08-22
D103,직판&국내위탁판매,D,판매채널,136,118,1.000,,confirmed,2026-08-22
D105,국내외혼합판매,D,판매채널,562,323,1.000,,confirmed,2026-08-22
D106,온라인전용,D,판매채널,3705,3223,1.000,,confirmed,2026-08-22
E101,개인,E,가입대상,46,32,1.000,,confirmed,2026-08-22
E102,법인,E,가입대상,224,133,1.000,,confirmed,2026-08-22
E103,가입대상제한없음,E,가입대상,8,3,1.000,,confirmed,2026-08-22
F101,단순비과세,F,세제혜택유형,638,604,1.000,,confirmed,2026-08-22
F102,단순소득공제,F,세제혜택유형,153,130,1.000,,confirmed,2026-08-22
F103,단순세액공제,F,세제혜택유형,3091,2780,1.000,,confirmed,2026-08-22
F104,소득공제비과세,F,세제혜택유형,82,75,1.000,,confirmed,2026-08-22
F105,세액공제비과세,F,세제혜택유형,2,0,1.000,,confirmed_low_n,2026-08-22
F106,세금우대,F,세제혜택유형,12,12,1.000,,confirmed,2026-08-22
F107,분리과세,F,세제혜택유형,31,15,1.000,,confirmed,2026-08-22
G101,개인연금,G,세제특례·연금상품,48,46,1.000,,confirmed,2026-08-22
G102,근로자장기저축,G,세제특례·연금상품,12,12,1.000,,confirmed,2026-08-22
G105,근로자우대,G,세제특례·연금상품,1,1,1.000,,confirmed_low_n,2026-08-22
G106,비과세,G,세제특례·연금상품,1,0,1.000,,confirmed_low_n,2026-08-22
G108,퇴직신탁,G,세제특례·연금상품,1,1,1.000,,confirmed_low_n,2026-08-22
G109,비과세근로자,G,세제특례·연금상품,1,0,1.000,,confirmed_low_n,2026-08-22
G110,연금저축,G,세제특례·연금상품,1615,1412,1.000,,confirmed,2026-08-22
G112,장기증권투자,G,세제특례·연금상품,1,0,1.000,,confirmed_low_n,2026-08-22
G113,장기주택마련,G,세제특례·연금상품,18,17,1.000,,confirmed,2026-08-22
G114,장기주식,G,세제특례·연금상품,6,3,1.000,,confirmed,2026-08-22
G115,퇴직연금,G,세제특례·연금상품,2096,1909,1.000,,confirmed,2026-08-22
G116,재형저축,G,세제특례·연금상품,17,16,1.000,,confirmed,2026-08-22
G117,소득공제장기펀드,G,세제특례·연금상품,36,36,1.000,,confirmed,2026-08-22
G118,해외비과세,G,세제특례·연금상품,1688,1605,1.000,,confirmed,2026-08-22
G119,벤처기업투자신탁,G,세제특례·연금상품,23,21,1.000,,confirmed,2026-08-22
M101,목표달성전환,M,펀드구조(모자/종류형/FoFs 등),189,90,1.000,,confirmed,2026-08-22
M102,목표달성상환,M,펀드구조(모자/종류형/FoFs 등),71,45,1.000,,confirmed,2026-08-22
M104,엄브렐러,M,펀드구조(모자/종류형/FoFs 등),93,66,1.000,,confirmed,2026-08-22
M105,Wrap,M,펀드구조(모자/종류형/FoFs 등),240,189,1.000,,confirmed,2026-08-22
M106,라이프싸이클,M,펀드구조(모자/종류형/FoFs 등),716,700,1.000,,confirmed,2026-08-22
