iso3,name_ko,n_rows,source,as_of
CHN,중국,584,"public_funds.prfd_attr_search_text 인접쌍 도출 (2차 데이터, zrin_attr_nms 로 검증) — scripts/gen_fund_attr_codebook.py",2026-08-22
USA,미국,354,"public_funds.prfd_attr_search_text 인접쌍 도출 (2차 데이터, zrin_attr_nms 로 검증) — scripts/gen_fund_attr_codebook.py",2026-08-22
IND,인도,124,"public_funds.prfd_attr_search_text 인접쌍 도출 (2차 데이터, zrin_attr_nms 로 검증) — scripts/gen_fund_attr_codebook.py",2026-08-22
JPN,일본,121,"public_funds.prfd_attr_search_text 인접쌍 도출 (2차 데이터, zrin_attr_nms 로 검증) — scripts/gen_fund_attr_codebook.py",2026-08-22
VNM,베트남,117,"public_funds.prfd_attr_search_text 인접쌍 도출 (2차 데이터, zrin_attr_nms 로 검증) — scripts/gen_fund_attr_codebook.py",2026-08-22
BRA,브라질,60,"public_funds.prfd_attr_search_text 인접쌍 도출 (2차 데이터, zrin_attr_nms 로 검증) — scripts/gen_fund_attr_codebook.py",2026-08-22
RUS,러시아,51,"public_funds.prfd_attr_search_text 인접쌍 도출 (2차 데이터, zrin_attr_nms 로 검증) — scripts/gen_fund_attr_codebook.py",2026-08-22
HKG,홍콩,29,"public_funds.prfd_attr_search_text 인접쌍 도출 (2차 데이터, zrin_attr_nms 로 검증) — scripts/gen_fund_attr_codebook.py",2026-08-22
KOR,한국,21,"public_funds.prfd_attr_search_text 인접쌍 도출 (2차 데이터, zrin_attr_nms 로 검증) — scripts/gen_fund_attr_codebook.py",2026-08-22
DEU,독일,17,"public_funds.prfd_attr_search_text 인접쌍 도출 (2차 데이터, zrin_attr_nms 로 검증) — scripts/gen_fund_attr_codebook.py",2026-08-22
IDN,인도네시아,12,"public_funds.prfd_attr_search_text 인접쌍 도출 (2차 데이터, zrin_attr_nms 로 검증) — scripts/gen_fund_attr_codebook.py",2026-08-22
TWN,대만,7,"public_funds.prfd_attr_search_text 인접쌍 도출 (2차 데이터, zrin_attr_nms 로 검증) — scripts/gen_fund_attr_codebook.py",2026-08-22
MYS,말레이시아,5,"public_funds.prfd_attr_search_text 인접쌍 도출 (2차 데이터, zrin_attr_nms 로 검증) — scripts/gen_fund_attr_codebook.py",2026-08-22
AUS,호주,5,"public_funds.prfd_attr_search_text 인접쌍 도출 (2차 데이터, zrin_attr_nms 로 검증) — scripts/gen_fund_attr_codebook.py",2026-08-22
GBR,영국,3,"public_funds.prfd_attr_search_text 인접쌍 도출 (2차 데이터, zrin_attr_nms 로 검증) — scripts/gen_fund_attr_codebook.py",2026-08-22
FRA,프랑스,3,"public_funds.prfd_attr_search_text 인접쌍 도출 (2차 데이터, zrin_attr_nms 로 검증) — scripts/gen_fund_attr_codebook.py",2026-08-22
ESP,스페인,2,"public_funds.prfd_attr_search_text 인접쌍 도출 (2차 데이터, zrin_attr_nms 로 검증) — scripts/gen_fund_attr_codebook.py",2026-08-22
