# 공모펀드 운용사 코드 ↔ 브랜드 — 내부 유도 결과 (외부 코드북 도착 전 임시)
# 생성 2026-08-18 · source=rule (종목명 접두 최빈값, 50% 임계 최장접두) · as_of=2026-07-11
# 🔴 brand 는 '판매 브랜드' 이며 정식 법인명이 아니다 (KB <-> KB자산운용). 코드북 회신 시 덮어쓸 것
# evidence  A=국내ETF cu_fund_mgmt_co 교차검증(확정) · B=접두 점유율 90%+ · C=구 상호 혼재(브랜드 식별 가능)
#           D=접두가 상품명(브랜드 절단 수작업) · E=다세대 상호 혼재(수작업 확인)
# 🔴 former_names 를 KG alias 에 반드시 포함할 것 — '동양자산운용 펀드' 질의가 00040007(우리)로 가야 한다
# 근거: docs/eda/public_funds_value_dictionary.md §2.6 · docs/DATA_NEEDS.md (1)
code,items,brand,share,evidence,former_names,note,sample_itm_nm
00080008,2852,미래에셋,0.993,A,,ETF 교차검증: 미래에셋,SK신종 MMF A63
00040010,908,삼성,0.998,A,,ETF 교차검증: 삼성,삼성 2년 만기매칭형 증권 투자신탁제1호[채권]_C-P
00040035,674,KB,0.994,B,,,KB K-성장과 지배구조 30 목표전환 증권 투자신탁(채권혼합) A
00040024,584,한국투자,0.974,B,,,KM베이직안정A-1
00040067,488,신한,0.957,B,,,BEST JEWELRY혼합투자회사3호
00040007,432,우리,0.947,B,동양,,동양 6 Chance 파생상품투자신탁2
00040027,398,한화,1.0,B,,,한화 ARIRANG 국채선물3년증권상장지수투자신탁(채권-파생형)
00080052,357,키움,0.958,B,우리,,LG신종분리과세국공채투자신탁1호
00040040,329,NH-Amundi,0.875,A,NH-C,ETF 교차검증: NH-Amundi,NH-Amundi 1.5배 레버리지 목표전환형 증권자투자신탁3호[주식혼합-파생형] A
00040011,299,,0.0,E,,다세대 상호 혼재 — 어떤 접두도 50% 미달,D스페셜중기주식20
00080029,278,피델리티,0.993,B,,,FK글로벌채권투자신탁-자E
00080035,244,iM에셋,0.951,B,,,DGB메자닌분리과세하이일드증권투자신탁(채권혼합)A
00040006,198,DB,0.854,C,동부글로,구 상호 혼재 — 브랜드는 식별 가능,DB NEW해오름신종MMF 제3호 Class C
00040001,195,교보악사,0.938,B,교보,,G초일류중기B-905
00080013,191,다올,0.728,C,KTB스 / KTB글 / KTB웰,구 상호 혼재 — 브랜드는 식별 가능,KTB 2STOCK 파생투자신탁제17-1호
00080005,179,마이다스,1.0,B,,,마이다스 거북이 90 증권 자투자신탁 1호(주식) Ae클래스
00040018,169,브이아이,0.757,C,제일B& / 하이,구 상호 혼재 — 브랜드는 식별 가능,BIG&SAFE 푸른채권10-2(출)
00040005,168,하나,0.958,B,대한,,대한 인Best Nikkei ELS 채권투자신탁5호
00040038,166,카디안,0.765,C,이스트스 / PCA다,구 상호 혼재 — 브랜드는 식별 가능,PCA국공채신종MMF A-4호
00040014,162,신영,0.994,B,,,I·BEST주식1호
00080043,153,트러스톤,1.0,B,,,트러스톤 ESG지배구조 레벨업 증권자투자신탁[주식] Ae클래스
00040087,146,KCGI,0.897,C,메리츠주,구 상호 혼재 — 브랜드는 식별 가능,KCGI글로벌헬스케어증권투자신탁(주식)C-Pe
00040021,127,흥국,0.992,B,,,태광네오신종MMF A-1호
00080010,125,유리,1.0,A,,ETF 교차검증: 유리,유리2STAR포트폴리오증권투자신탁제HH-1호(채권혼합)
00080022,115,IBK,0.565,C,,구 상호 혼재 — 브랜드는 식별 가능,IBK 2년만기형증권투자신탁 2[채권] 종류 C
00080042,95,AB,1.0,B,,,AB 미국 그로스 UH 증권투자신탁(주식-재간접형) 종류 A
00080086,93,에셋플러스,1.0,B,,,에셋플러스 글로벌 리치투게더 증권 자투자신탁 2호 (주식) 종류 A
00040013,91,키움슈로더,0.505,C,슈로더글 / 슈로더미 / 슈로더재,구 상호 혼재 — 브랜드는 식별 가능,슈로더글로벌멀티에셋인컴증권투자신탁(채권혼합-재간접형) 종류A
00080019,82,베어링,1.0,B,,,베어링 가치형 증권자투자신탁(주식) Class C-Pe
00080021,77,한국밸류10년투자,0.714,C,한국밸류,구 상호 혼재 — 브랜드는 식별 가능,한국밸류 10년투자 증권투자신탁 1호(주식) 종류C-F
00080135,64,삼성,1.0,B,,,삼성뉴딜코리아증권투자신탁 제1호[주식] Ae
00040026,57,유진챔피언,0.561,C,유진디딤 / 한일신종 / 유진인덱,구 상호 혼재 — 브랜드는 식별 가능,서울HIT신종MMF투자신탁S-1호
